No,q1Title,q1Body,q2Title,q2Body,q1 Title + body,Length of cell,top,top5,top10,,,top,top5,top10
71,How to emulate a do-while loop? ,"<p>Is there a</p>

<pre><code>do until x:
    ...
</code></pre>

<p>in Python, or a nice way to implement such a looping construct?</p>
","Is there a ""do ... until"" in Python?","<p>I need to emulate a do-while loop in a Python program. Unfortunately, the following straightforward code does not work:</p>

<pre><code>list_of_ints = [ 1, 2, 3 ]
iterator = list_of_ints.__iter__()
element = None

while True:
  if element:
    print element

  try:
    element = iterator.next()
  except StopIteration:
    break

print ""done""
</code></pre>

<p>Instead of ""1,2,3,done"", it prints the following output:</p>

<pre><code>[stdout:]1
[stdout:]2
[stdout:]3
None['Traceback (most recent call last):
', '  File ""test_python.py"", line 8, in &lt;module&gt;
    s = i.next()
', 'StopIteration
']
</code></pre>

<p>What can I do in order to catch the 'stop iteration' exception and break a while
loop properly?</p>

<p>An example of why such a thing may be needed is shown below as pseudocode.</p>

<p>State machine:</p>

<pre><code>s = """"
while True :
  if state is STATE_CODE :
    if ""//"" in s :
      tokens.add( TOKEN_COMMENT, s.split( ""//"" )[1] )
      state = STATE_COMMENT
    else :
      tokens.add( TOKEN_CODE, s )
  if state is STATE_COMMENT :
    if ""//"" in s :
      tokens.append( TOKEN_COMMENT, s.split( ""//"" )[1] )
    else
      state = STATE_CODE
      # Re-evaluate same line
      continue
  try :
    s = i.next()
  except StopIteration :
    break
</code></pre>
","How to emulate a do-while loop?  <p>Is there a</p>

<pre><code>do until x:
    ...
</code></pre>

<p>in Python, or a nice way to implement such a looping construct?</p>
",169,0,0,0,,,0,0,0
72,How do you test that a Python function throws an exception?,"<p>I did a simple test case:</p>

<pre><code>def setUp(self):

  self.testListNone = None

def testListSlicing(self):

  self.assertRaises(TypeError, self.testListNone[:1])
</code></pre>

<p>and I am expecting test to pass, but I am getting exception:</p>

<pre><code>Traceback (most recent call last):

    self.assertRaises(TypeError, self.testListNone[:1])

TypeError: 'NoneType' object is unsubscriptable
</code></pre>

<p><strong>I thought that assertRaises will pass since TypeError exception will
be raised?</strong></p>
",How to properly use unit-testing's assertRaises() with NoneType objects?,"<p>How does one write a unittest that fails only if a function doesn't throw an expected exception?</p>
","How do you test that a Python function throws an exception? <p>I did a simple test case:</p>

<pre><code>def setUp(self):

  self.testListNone = None

def testListSlicing(self):

  self.assertRaises(TypeError, self.testListNone[:1])
</code></pre>

<p>and I am expecting test to pass, but I am getting exception:</p>

<pre><code>Traceback (most recent call last):

    self.assertRaises(TypeError, self.testListNone[:1])

TypeError: 'NoneType' object is unsubscriptable
</code></pre>

<p><strong>I thought that assertRaises will pass since TypeError exception will
be raised?</strong></p>
",588,0,0,0,,,0,0,0
73,How to serve static files in Flask,"<p>I am rendering a template, that I am attempting to style with an external style sheet. File structure is as follows.</p>

<pre><code>/app
    - app_runner.py
    /services
        - app.py 
    /templates
        - mainpage.html
    /styles
        - mainpage.css
</code></pre>

<p>mainpage.html looks like this</p>

<pre><code>&lt;html&gt;
    &lt;head&gt;
        &lt;link rel= ""stylesheet"" type= ""text/css"" href= ""../styles/mainpage.css""&gt;
    &lt;/head&gt;
    &lt;body&gt;
        &lt;!-- content --&gt; 
</code></pre>

<p>None of my styles are being applied though. Does it have something to do with the fact that the html is a template I am rendering? The python looks like this.</p>

<pre><code>return render_template(""mainpage.html"", variables..)
</code></pre>

<p>I know this much is working, because I am still able to render the template. However, when I tried to move my styling code from a ""style"" block within the html's ""head"" tag to an external file, all the styling went away, leaving a bare html page. Anyone see any errors with my file structure?</p>
",Application not picking up .css file (flask/python),"<p>So this is embarrassing. I've got an application that I threw together in <code>Flask</code> and for now it is just serving up a single static HTML page with some links to CSS and JS. And I can't find where in the documentation <code>Flask</code> describes returning static files. Yes, I could use <code>render_template</code> but I know the data is not templatized. I'd have thought <code>send_file</code> or <code>url_for</code> was the right thing, but I could not get those to work. In the meantime, I am opening the files, reading content, and rigging up a <code>Response</code> with appropriate mimetype:</p>
<pre><code>import os.path

from flask import Flask, Response


app = Flask(__name__)
app.config.from_object(__name__)


def root_dir():  # pragma: no cover
    return os.path.abspath(os.path.dirname(__file__))


def get_file(filename):  # pragma: no cover
    try:
        src = os.path.join(root_dir(), filename)
        # Figure out how flask returns static files
        # Tried:
        # - render_template
        # - send_file
        # This should not be so non-obvious
        return open(src).read()
    except IOError as exc:
        return str(exc)


@app.route('/', methods=['GET'])
def metrics():  # pragma: no cover
    content = get_file('jenkins_analytics.html')
    return Response(content, mimetype=&quot;text/html&quot;)


@app.route('/', defaults={'path': ''})
@app.route('/&lt;path:path&gt;')
def get_resource(path):  # pragma: no cover
    mimetypes = {
        &quot;.css&quot;: &quot;text/css&quot;,
        &quot;.html&quot;: &quot;text/html&quot;,
        &quot;.js&quot;: &quot;application/javascript&quot;,
    }
    complete_path = os.path.join(root_dir(), path)
    ext = os.path.splitext(path)[1]
    mimetype = mimetypes.get(ext, &quot;text/html&quot;)
    content = get_file(complete_path)
    return Response(content, mimetype=mimetype)


if __name__ == '__main__':  # pragma: no cover
    app.run(port=80)
</code></pre>
<p>Someone want to give a code sample or url for this? I know this is going to be dead simple.</p>
","How to serve static files in Flask <p>I am rendering a template, that I am attempting to style with an external style sheet. File structure is as follows.</p>

<pre><code>/app
    - app_runner.py
    /services
        - app.py 
    /templates
        - mainpage.html
    /styles
        - mainpage.css
</code></pre>

<p>mainpage.html looks like this</p>

<pre><code>&lt;html&gt;
    &lt;head&gt;
        &lt;link rel= ""stylesheet"" type= ""text/css"" href= ""../styles/mainpage.css""&gt;
    &lt;/head&gt;
    &lt;body&gt;
        &lt;!-- content --&gt; 
</code></pre>

<p>None of my styles are being applied though. Does it have something to do with the fact that the html is a template I am rendering? The python looks like this.</p>

<pre><code>return render_template(""mainpage.html"", variables..)
</code></pre>

<p>I know this much is working, because I am still able to render the template. However, when I tried to move my styling code from a ""style"" block within the html's ""head"" tag to an external file, all the styling went away, leaving a bare html page. Anyone see any errors with my file structure?</p>
",1111,1,1,1,,,1,1,1
74,"How do I convert seconds to hours, minutes and seconds? ","<p>How do I convert an int (number of seconds) to the formats <strong>mm:ss</strong> or <strong>hh:mm:ss</strong>?</p>

<p>I need to do this with Python code (and if possible in a Django template).</p>
",Convert seconds to hh:mm:ss in Python,"<p>I have a function that returns information in seconds, but I need to store that information in hours:minutes:seconds.</p>

<p>Is there an easy way to convert the seconds to this format in Python?</p>
","How do I convert seconds to hours, minutes and seconds?  <p>How do I convert an int (number of seconds) to the formats <strong>mm:ss</strong> or <strong>hh:mm:ss</strong>?</p>

<p>I need to do this with Python code (and if possible in a Django template).</p>
",259,1,1,1,,,1,1,1
75,Is there a built-in function to print all the current properties and values of an object?,"<pre><code>dir(re.compile(pattern)) 
</code></pre>

<p>does not return pattern as one of the lists's elements. Namely it returns:</p>

<pre><code>['__copy__', '__deepcopy__', 'findall', 'finditer', 'match', 'scanner', 'search', 'split', 'sub', 'subn']
</code></pre>

<p>According to the manual, it is supposed to contain </p>

<blockquote>
  <p>the object's attributes' names, the
  names of its class's attributes, and
  recursively of the attributes of its
  class's base classes.</p>
</blockquote>

<p>It says also that</p>

<blockquote>
  <p>The list is not necessarily complete.</p>
</blockquote>

<p>Is there a way to get the <strong>complete</strong> list? I always assumed that dir returns a complete list but apparently it does not...</p>

<p>Also: is there a way to list only attributes? Or only methods?</p>

<p><em>Edit: this is actually a bug in python -> supposedly it is fixed in the 3.0 branch (and perhaps also in 2.6)</em></p>
",How to get a complete list of object's methods and attributes?,"<p>So what I'm looking for here is something like PHP's <a href=""http://us2.php.net/print_r"" rel=""noreferrer"">print_r</a> function.</p>

<p>This is so I can debug my scripts by seeing what's the state of the object in question.</p>
","Is there a built-in function to print all the current properties and values of an object? <pre><code>dir(re.compile(pattern)) 
</code></pre>

<p>does not return pattern as one of the lists's elements. Namely it returns:</p>

<pre><code>['__copy__', '__deepcopy__', 'findall', 'finditer', 'match', 'scanner', 'search', 'split', 'sub', 'subn']
</code></pre>

<p>According to the manual, it is supposed to contain </p>

<blockquote>
  <p>the object's attributes' names, the
  names of its class's attributes, and
  recursively of the attributes of its
  class's base classes.</p>
</blockquote>

<p>It says also that</p>

<blockquote>
  <p>The list is not necessarily complete.</p>
</blockquote>

<p>Is there a way to get the <strong>complete</strong> list? I always assumed that dir returns a complete list but apparently it does not...</p>

<p>Also: is there a way to list only attributes? Or only methods?</p>

<p><em>Edit: this is actually a bug in python -> supposedly it is fixed in the 3.0 branch (and perhaps also in 2.6)</em></p>
",1035,0,0,0,,,0,0,0
76,"If Python is interpreted, what are .pyc files?","<p>I have noticed <code>.pyc</code> files spontaneously being generated when some <code>.py</code> file of the same name gets run. What is the difference between <code>.py</code> and <code>.pyc</code> files? </p>

<p>Also, I find that having <code>.pyc</code> files lying around clutters up space. Should one delete <code>.pyc</code> files? Or is there a benefit and/or necessity to having them around?</p>

<p>UPDATE: Here are 2 answered questions that are related to my question</p>

<p><a href=""https://stackoverflow.com/questions/2998215/if-python-is-interpreted-what-are-pyc-files"">If Python is interpreted, what are .pyc files?</a></p>

<p><a href=""https://stackoverflow.com/questions/3878479/python-pyc-files-main-file-not-compiled"">Why are main runnable Python scripts not compiled to pyc files like modules?</a></p>

<p><strong>This Question is not a Duplicate</strong></p>

<p><em>Reason 1: Because I am asking what the difference between these two files are. The question S.Lott found named 'If Python is interpreted, what are .pyc files?' is not asking what the difference between .py and .pyc files are. It is asking what .pyc files are.</em></p>

<p><em>Reason 2: Because my secondary questions 'Should one delete <code>.pyc</code> files? Or is there a benefit and/or necessity to having them around?' provide even more information on .pyc files and how one should handle them.</em> </p>

<p><em>Reason 3: Because when a beginner Python programmer like myself wants to find out <strong>What is the difference between .py and .pyc files?</strong> , they will have no problem finding out the answer as they will be guided directly to my question. This helps reduce search time since the question is right to the point.</em></p>
",Why are main runnable Python scripts not compiled to pyc files like modules?,"<p>I understand that when you import a module, that file is compiled into a <code>.pyc</code> file to make it faster? Why is the main file also not compiled to a <code>.pyc</code>? Does this slow things down? Would it be better to keep the main file as small as possible then, or does it not matter?</p>
","If Python is interpreted, what are .pyc files? <p>I have noticed <code>.pyc</code> files spontaneously being generated when some <code>.py</code> file of the same name gets run. What is the difference between <code>.py</code> and <code>.pyc</code> files? </p>

<p>Also, I find that having <code>.pyc</code> files lying around clutters up space. Should one delete <code>.pyc</code> files? Or is there a benefit and/or necessity to having them around?</p>

<p>UPDATE: Here are 2 answered questions that are related to my question</p>

<p><a href=""https://stackoverflow.com/questions/2998215/if-python-is-interpreted-what-are-pyc-files"">If Python is interpreted, what are .pyc files?</a></p>

<p><a href=""https://stackoverflow.com/questions/3878479/python-pyc-files-main-file-not-compiled"">Why are main runnable Python scripts not compiled to pyc files like modules?</a></p>

<p><strong>This Question is not a Duplicate</strong></p>

<p><em>Reason 1: Because I am asking what the difference between these two files are. The question S.Lott found named 'If Python is interpreted, what are .pyc files?' is not asking what the difference between .py and .pyc files are. It is asking what .pyc files are.</em></p>

<p><em>Reason 2: Because my secondary questions 'Should one delete <code>.pyc</code> files? Or is there a benefit and/or necessity to having them around?' provide even more information on .pyc files and how one should handle them.</em> </p>

<p><em>Reason 3: Because when a beginner Python programmer like myself wants to find out <strong>What is the difference between .py and .pyc files?</strong> , they will have no problem finding out the answer as they will be guided directly to my question. This helps reduce search time since the question is right to the point.</em></p>
",1787,1,1,1,,,1,1,1
77,Traverse a list in reverse order in Python ,"<blockquote>
  <p><strong>Possible Duplicate:</strong><br>
  <a href=""https://stackoverflow.com/questions/529424/traverse-a-list-in-reverse-order-in-python"">Traverse a list in reverse order in Python</a>  </p>
</blockquote>



<p>Is this possible? Doesn't have to be in place, just looking for a way to reverse a tuple so I can iterate on it backwards.</p>
",How to reverse tuples in Python?,"<p>So I can start from <code>collection[len(collection)-1]</code> and end in <code>collection[0]</code>.</p>
<p>I also want to be able to access the loop index.</p>
","Traverse a list in reverse order in Python  <blockquote>
  <p><strong>Possible Duplicate:</strong><br>
  <a href=""https://stackoverflow.com/questions/529424/traverse-a-list-in-reverse-order-in-python"">Traverse a list in reverse order in Python</a>  </p>
</blockquote>



<p>Is this possible? Doesn't have to be in place, just looking for a way to reverse a tuple so I can iterate on it backwards.</p>
",401,1,1,1,,,1,1,1
78,Python vs Cpython,"<p>What's all this fuss about Python and CPython <em>(Jython,IronPython)</em>, I don't get it:</p>

<p><a href=""http://www.python.org/"" rel=""noreferrer"">python.org</a> mentions that CPython is:</p>

<blockquote>
  <p><em>The ""traditional"" implementation of Python (nicknamed CPython)</em></p>
</blockquote>

<p><a href=""https://stackoverflow.com/a/2324217/2425215"">yet another Stack Overflow question</a> mentions that:</p>

<blockquote>
  <p><em>CPython is the default byte-code interpreter of Python, which is written in C.</em></p>
</blockquote>

<p>Honestly I don't get what both of those explanations practically mean but what I thought was that, <em>if I use CPython does that mean when I run a sample python code, it compiles it to C language and then executes it as if it were C code</em></p>

<p><strong>So what exactly is CPython and how does it differ when compared with python and should I probably use CPython over Python and if so what are its advantages?</strong></p>
",Is there any difference between cpython and python,,"Python vs Cpython <p>What's all this fuss about Python and CPython <em>(Jython,IronPython)</em>, I don't get it:</p>

<p><a href=""http://www.python.org/"" rel=""noreferrer"">python.org</a> mentions that CPython is:</p>

<blockquote>
  <p><em>The ""traditional"" implementation of Python (nicknamed CPython)</em></p>
</blockquote>

<p><a href=""https://stackoverflow.com/a/2324217/2425215"">yet another Stack Overflow question</a> mentions that:</p>

<blockquote>
  <p><em>CPython is the default byte-code interpreter of Python, which is written in C.</em></p>
</blockquote>

<p>Honestly I don't get what both of those explanations practically mean but what I thought was that, <em>if I use CPython does that mean when I run a sample python code, it compiles it to C language and then executes it as if it were C code</em></p>

<p><strong>So what exactly is CPython and how does it differ when compared with python and should I probably use CPython over Python and if so what are its advantages?</strong></p>
",1001,1,1,1,,,0,1,1
79,How to get the current time in Python,"<p>What is the module/method used to get the current time?</p>
",How to get on python current time?,,"How to get the current time in Python <p>What is the module/method used to get the current time?</p>
",101,1,1,1,,,1,1,1
80,How to download a file over HTTP?,"<p>I have a small utility that I use to download an MP3 file from a website on a schedule and then builds/updates a podcast XML file which I've added to iTunes.</p>

<p>The text processing that creates/updates the XML file is written in Python. However, I use wget inside a Windows <code>.bat</code> file to download the actual MP3 file. I would prefer to have the entire utility written in Python.</p>

<p>I struggled to find a way to actually download the file in Python, thus why I resorted to using <code>wget</code>.</p>

<p>So, how do I download the file using Python?</p>
",How to download file using Python?,,"How to download a file over HTTP? <p>I have a small utility that I use to download an MP3 file from a website on a schedule and then builds/updates a podcast XML file which I've added to iTunes.</p>

<p>The text processing that creates/updates the XML file is written in Python. However, I use wget inside a Windows <code>.bat</code> file to download the actual MP3 file. I would prefer to have the entire utility written in Python.</p>

<p>I struggled to find a way to actually download the file in Python, thus why I resorted to using <code>wget</code>.</p>

<p>So, how do I download the file using Python?</p>
",613,1,1,1,,,1,1,1
81,How to POST JSON data with Python Requests?,"<p>I need to POST a JSON from a client to a server. I'm using Python 2.7.1 and simplejson. The client is using Requests. The server is CherryPy. I can GET a hard-coded JSON from the server (code not shown), but when I try to POST a JSON to the server, I get ""400 Bad Request"".</p>

<p>Here is my client code:</p>

<pre><code>data = {'sender':   'Alice',
    'receiver': 'Bob',
    'message':  'We did it!'}
data_json = simplejson.dumps(data)
payload = {'json_payload': data_json}
r = requests.post(""http://localhost:8080"", data=payload)
</code></pre>

<p>Here is the server code.</p>

<pre><code>class Root(object):

    def __init__(self, content):
        self.content = content
        print self.content  # this works

    exposed = True

    def GET(self):
        cherrypy.response.headers['Content-Type'] = 'application/json'
        return simplejson.dumps(self.content)

    def POST(self):
        self.content = simplejson.loads(cherrypy.request.body.read())
</code></pre>

<p>Any ideas?</p>
",Get json from request flask,,"How to POST JSON data with Python Requests? <p>I need to POST a JSON from a client to a server. I'm using Python 2.7.1 and simplejson. The client is using Requests. The server is CherryPy. I can GET a hard-coded JSON from the server (code not shown), but when I try to POST a JSON to the server, I get ""400 Bad Request"".</p>

<p>Here is my client code:</p>

<pre><code>data = {'sender':   'Alice',
    'receiver': 'Bob',
    'message':  'We did it!'}
data_json = simplejson.dumps(data)
payload = {'json_payload': data_json}
r = requests.post(""http://localhost:8080"", data=payload)
</code></pre>

<p>Here is the server code.</p>

<pre><code>class Root(object):

    def __init__(self, content):
        self.content = content
        print self.content  # this works

    exposed = True

    def GET(self):
        cherrypy.response.headers['Content-Type'] = 'application/json'
        return simplejson.dumps(self.content)

    def POST(self):
        self.content = simplejson.loads(cherrypy.request.body.read())
</code></pre>

<p>Any ideas?</p>
",1047,0,1,1,,,0,1,1
82,How to change a string into uppercase,"<p>I have problem in changing a string into uppercase with Python. In my research, I got <code>string.ascii_uppercase</code> but it doesn't work.</p>

<p>The following code:</p>

<pre><code> &gt;&gt;s = 'sdsd'
 &gt;&gt;s.ascii_uppercase
</code></pre>

<p>Gives this error message:</p>

<pre><code>Traceback (most recent call last):
  File ""&lt;console&gt;"", line 1, in &lt;module&gt;
AttributeError: 'str' object has no attribute 'ascii_uppercase'
</code></pre>

<p>My question is: <strong>how can I convert a string into uppercase in Python?</strong></p>
",How to capitalize a string in Python?,,"How to change a string into uppercase <p>I have problem in changing a string into uppercase with Python. In my research, I got <code>string.ascii_uppercase</code> but it doesn't work.</p>

<p>The following code:</p>

<pre><code> &gt;&gt;s = 'sdsd'
 &gt;&gt;s.ascii_uppercase
</code></pre>

<p>Gives this error message:</p>

<pre><code>Traceback (most recent call last):
  File ""&lt;console&gt;"", line 1, in &lt;module&gt;
AttributeError: 'str' object has no attribute 'ascii_uppercase'
</code></pre>

<p>My question is: <strong>how can I convert a string into uppercase in Python?</strong></p>
",594,0,0,0,,,0,0,0
83,Converting a Pandas GroupBy output from Series to DataFrame,"<p>I'm starting with input data like this</p>

<pre><code>df1 = pandas.DataFrame( { 
    ""Name"" : [""Alice"", ""Bob"", ""Mallory"", ""Mallory"", ""Bob"" , ""Mallory""] , 
    ""City"" : [""Seattle"", ""Seattle"", ""Portland"", ""Seattle"", ""Seattle"", ""Portland""] } )
</code></pre>

<p>Which when printed appears as this:</p>

<pre><code>   City     Name
0   Seattle    Alice
1   Seattle      Bob
2  Portland  Mallory
3   Seattle  Mallory
4   Seattle      Bob
5  Portland  Mallory
</code></pre>

<p>Grouping is simple enough:</p>

<pre><code>g1 = df1.groupby( [ ""Name"", ""City""] ).count()
</code></pre>

<p>and printing yields a <code>GroupBy</code> object:</p>

<pre><code>                  City  Name
Name    City
Alice   Seattle      1     1
Bob     Seattle      2     2
Mallory Portland     2     2
        Seattle      1     1
</code></pre>

<p>But what I want eventually is another DataFrame object that contains all the rows in the GroupBy object. In other words I want to get the following result:</p>

<pre><code>                  City  Name
Name    City
Alice   Seattle      1     1
Bob     Seattle      2     2
Mallory Portland     2     2
Mallory Seattle      1     1
</code></pre>

<p>I can't quite see how to accomplish this in the pandas documentation. Any hints would be welcome.</p>
",Pandas - Add Column Name to Results of groupby ,,"Converting a Pandas GroupBy output from Series to DataFrame <p>I'm starting with input data like this</p>

<pre><code>df1 = pandas.DataFrame( { 
    ""Name"" : [""Alice"", ""Bob"", ""Mallory"", ""Mallory"", ""Bob"" , ""Mallory""] , 
    ""City"" : [""Seattle"", ""Seattle"", ""Portland"", ""Seattle"", ""Seattle"", ""Portland""] } )
</code></pre>

<p>Which when printed appears as this:</p>

<pre><code>   City     Name
0   Seattle    Alice
1   Seattle      Bob
2  Portland  Mallory
3   Seattle  Mallory
4   Seattle      Bob
5  Portland  Mallory
</code></pre>

<p>Grouping is simple enough:</p>

<pre><code>g1 = df1.groupby( [ ""Name"", ""City""] ).count()
</code></pre>

<p>and printing yields a <code>GroupBy</code> object:</p>

<pre><code>                  City  Name
Name    City
Alice   Seattle      1     1
Bob     Seattle      2     2
Mallory Portland     2     2
        Seattle      1     1
</code></pre>

<p>But what I want eventually is another DataFrame object that contains all the rows in the GroupBy object. In other words I want to get the following result:</p>

<pre><code>                  City  Name
Name    City
Alice   Seattle      1     1
Bob     Seattle      2     2
Mallory Portland     2     2
Mallory Seattle      1     1
</code></pre>

<p>I can't quite see how to accomplish this in the pandas documentation. Any hints would be welcome.</p>
",1336,0,0,1,,,0,0,1
84,Transpose/Unzip Function (inverse of zip)?,"<blockquote>
  <p><strong>Possible Duplicate:</strong><br>
  <a href=""https://stackoverflow.com/questions/19339/a-transpose-unzip-function-in-python"">A Transpose/Unzip Function in Python</a>  </p>
</blockquote>



<p>I've used the zip() function from the numpy library to sort tuples and now I have a list containing all the tuples. I had since modified that list and now I would like to restore the tuples so I can use my data. How can I do this?</p>
",What is the inverse function of zip in python? ,"<p>I have a list of 2-item tuples and I'd like to convert them to 2 lists where the first contains the first item in each tuple and the second list holds the second item.</p>

<p><strong>For example:</strong></p>

<pre><code>original = [('a', 1), ('b', 2), ('c', 3), ('d', 4)]
# and I want to become...
result = (['a', 'b', 'c', 'd'], [1, 2, 3, 4])
</code></pre>

<p>Is there a builtin function that does that?</p>
","Transpose/Unzip Function (inverse of zip)? <blockquote>
  <p><strong>Possible Duplicate:</strong><br>
  <a href=""https://stackoverflow.com/questions/19339/a-transpose-unzip-function-in-python"">A Transpose/Unzip Function in Python</a>  </p>
</blockquote>



<p>I've used the zip() function from the numpy library to sort tuples and now I have a list containing all the tuples. I had since modified that list and now I would like to restore the tuples so I can use my data. How can I do this?</p>
",495,1,1,1,,,0,1,1
85,Access an arbitrary element in a dictionary in Python,"<p>If a <code>mydict</code> is not empty, I access an arbitrary element as:</p>

<pre><code>mydict[mydict.keys()[0]]
</code></pre>

<p>Is there any better way to do this?</p>
",Pythonic way to get the first passed kwarg without knowing its name?,,"Access an arbitrary element in a dictionary in Python <p>If a <code>mydict</code> is not empty, I access an arbitrary element as:</p>

<pre><code>mydict[mydict.keys()[0]]
</code></pre>

<p>Is there any better way to do this?</p>
",229,0,0,0,,,0,0,0
86,"Difference between map, applymap and apply methods in Pandas","<p>Can you tell me when to use these vectorization methods with basic examples? </p>

<p>I see that <code>map</code> is a <code>Series</code> method whereas the rest are <code>DataFrame</code> methods. I got confused about <code>apply</code> and <code>applymap</code> methods though. Why do we have two methods for applying a function to a DataFrame? Again, simple examples which illustrate the usage would be great!</p>
",What is the difference between Pandas Series.apply() and Series.map()?,,"Difference between map, applymap and apply methods in Pandas <p>Can you tell me when to use these vectorization methods with basic examples? </p>

<p>I see that <code>map</code> is a <code>Series</code> method whereas the rest are <code>DataFrame</code> methods. I got confused about <code>apply</code> and <code>applymap</code> methods though. Why do we have two methods for applying a function to a DataFrame? Again, simple examples which illustrate the usage would be great!</p>
",482,1,1,1,,,0,1,1
87,How to get the ASCII value of a character,"<p>How do I get the <a href=""http://en.wikipedia.org/wiki/ASCII"" rel=""noreferrer"">ASCII</a> value of a character as an <code>int</code> in <a href=""http://en.wikipedia.org/wiki/Python_%28programming_language%29"" rel=""noreferrer"">Python</a>?</p>
",How to convert numbers to alphabet? ,,"How to get the ASCII value of a character <p>How do I get the <a href=""http://en.wikipedia.org/wiki/ASCII"" rel=""noreferrer"">ASCII</a> value of a character as an <code>int</code> in <a href=""http://en.wikipedia.org/wiki/Python_%28programming_language%29"" rel=""noreferrer"">Python</a>?</p>
",287,0,0,0,,,0,0,0
88,How to save/restore a model after training?,"<p>After you train a model in Tensorflow: </p>

<ol>
<li>How do you save the trained model?</li>
<li>How do you later restore this saved model?</li>
</ol>
",How to restore session in tensorflow?,,"How to save/restore a model after training? <p>After you train a model in Tensorflow: </p>

<ol>
<li>How do you save the trained model?</li>
<li>How do you later restore this saved model?</li>
</ol>
",199,1,1,1,,,1,1,1
89,How do I use raw_input in Python 3,"<pre><code>import sys
print(sys.platform)
print(2**100)
raw_input()
</code></pre>

<p>I am using Python 3.1 and can't get the <code>raw_input</code> to ""freeze"" the dos pop-up. The book I'm reading is for Python 2.5 and I'm using Python 3.1</p>

<p>What should I do to fix this?</p>
",NameError: name 'raw_input' is not defined,,"How do I use raw_input in Python 3 <pre><code>import sys
print(sys.platform)
print(2**100)
raw_input()
</code></pre>

<p>I am using Python 3.1 and can't get the <code>raw_input</code> to ""freeze"" the dos pop-up. The book I'm reading is for Python 2.5 and I'm using Python 3.1</p>

<p>What should I do to fix this?</p>
",318,1,1,1,,,1,1,1
90,Python exit commands - why so many and when should each be used?,"<p>It seems that python supports many different commands to stop script execution.<br>The choices I've found are:  <code>quit()</code>, <code>exit()</code>, <code>sys.exit()</code>, <code>os._exit()</code> </p>

<p>Have I missed any?
What's the difference between them? When would you use each?</p>
",Python function exit does not work - why?,,"Python exit commands - why so many and when should each be used? <p>It seems that python supports many different commands to stop script execution.<br>The choices I've found are:  <code>quit()</code>, <code>exit()</code>, <code>sys.exit()</code>, <code>os._exit()</code> </p>

<p>Have I missed any?
What's the difference between them? When would you use each?</p>
",364,1,1,1,,,1,1,1
91,How do I parse a string to a float or int?,"<p>In Python, how can I parse a numeric string like</p>
<pre><code>&quot;545.2222&quot; 
</code></pre>
<p>to its corresponding float value,</p>
<pre><code>545.2222
</code></pre>
<p>? Or parse the string <code>&quot;31&quot;</code> to an integer, <code>31</code>?</p>
<p>I just want to know how to parse a <em>float</em> <code>str</code> to a <code>float</code>, and (separately) an <em>int</em> <code>str</code> to an <code>int</code>.</p>
",F# String to int conversion,,"How do I parse a string to a float or int? <p>In Python, how can I parse a numeric string like</p>
<pre><code>&quot;545.2222&quot; 
</code></pre>
<p>to its corresponding float value,</p>
<pre><code>545.2222
</code></pre>
<p>? Or parse the string <code>&quot;31&quot;</code> to an integer, <code>31</code>?</p>
<p>I just want to know how to parse a <em>float</em> <code>str</code> to a <code>float</code>, and (separately) an <em>int</em> <code>str</code> to an <code>int</code>.</p>
",483,0,1,1,,,0,1,1
92,Generate random integers between 0 and 9,"<p>How can I generate random integers between 0 and 9 (inclusive) in Python?</p>

<p>For example, <code>0</code>, <code>1</code>, <code>2</code>, <code>3</code>, <code>4</code>, <code>5</code>, <code>6</code>, <code>7</code>, <code>8</code>, <code>9</code></p>
",Python: Generate random number between x and y which is a multiple of 5,,"Generate random integers between 0 and 9 <p>How can I generate random integers between 0 and 9 (inclusive) in Python?</p>

<p>For example, <code>0</code>, <code>1</code>, <code>2</code>, <code>3</code>, <code>4</code>, <code>5</code>, <code>6</code>, <code>7</code>, <code>8</code>, <code>9</code></p>
",302,0,1,1,,,0,1,1
93,How can you profile a Python script?,"<p><a href=""http://en.wikipedia.org/wiki/Project_Euler"" rel=""noreferrer"">Project Euler</a> and other coding contests often have a maximum time to run or people boast of how fast their particular solution runs. With Python, sometimes the approaches are somewhat kludgey - i.e., adding timing code to <code>__main__</code>.</p>

<p>What is a good way to profile how long a Python program takes to run?</p>
",python time measure for every function ,,"How can you profile a Python script? <p><a href=""http://en.wikipedia.org/wiki/Project_Euler"" rel=""noreferrer"">Project Euler</a> and other coding contests often have a maximum time to run or people boast of how fast their particular solution runs. With Python, sometimes the approaches are somewhat kludgey - i.e., adding timing code to <code>__main__</code>.</p>

<p>What is a good way to profile how long a Python program takes to run?</p>
",441,0,0,0,,,0,0,0
